,Step,Mean return,Success rate,Mean episode length
0,10000,-100.0,0.0,100.0
1,20000,-100.0,0.0,100.0
2,30000,-110.0,0.0,100.0
3,40000,-114.0,0.0,100.0
4,50000,-104.0,0.0,100.0
5,60000,-100.0,0.0,100.0
6,70000,-102.0,0.0,100.0
7,80000,-106.0,0.0,100.0
8,90000,-100.0,0.0,100.0
9,100000,-102.0,0.0,100.0
10,110000,-100.0,0.0,100.0
11,120000,-100.0,0.0,100.0
12,130000,-100.0,0.0,100.0
13,140000,-100.0,0.0,100.0
14,150000,-100.0,0.0,100.0
15,160000,-104.0,0.0,100.0
16,170000,-100.0,0.0,100.0
17,180000,-100.0,0.0,100.0
18,190000,-102.0,0.0,100.0
19,200000,-104.0,0.0,100.0
20,210000,-102.0,0.0,100.0
21,220000,-100.0,0.0,100.0
22,230000,-100.0,0.0,100.0
23,240000,-100.0,0.0,100.0
24,250000,-102.0,0.0,100.0
25,260000,-100.0,0.0,100.0
26,270000,-100.0,0.0,100.0
27,280000,-100.0,0.0,100.0
28,290000,-100.0,0.0,100.0
29,300000,-106.0,0.0,100.0
30,310000,-104.0,0.0,100.0
31,320000,-100.0,0.0,100.0
32,330000,-100.0,0.0,100.0
33,340000,-102.0,0.0,100.0
34,350000,-100.0,0.0,100.0
35,360000,-100.0,0.0,100.0
36,370000,-100.0,0.0,100.0
37,380000,-100.0,0.0,100.0
38,390000,-102.0,0.0,100.0
39,400000,-100.0,0.0,100.0
40,410000,-100.0,0.0,100.0
41,420000,-104.0,0.0,100.0
42,430000,-104.0,0.0,100.0
43,440000,-100.0,0.0,100.0
44,450000,-100.0,0.0,100.0
45,460000,-100.0,0.0,100.0
46,470000,-100.0,0.0,100.0
47,480000,-100.0,0.0,100.0
48,490000,-104.0,0.0,100.0
49,500000,-100.0,0.0,100.0
50,510000,-100.0,0.0,100.0
51,520000,-100.0,0.0,100.0
52,530000,-102.0,0.0,100.0
53,540000,-100.0,0.0,100.0
54,550000,-100.0,0.0,100.0
55,560000,-100.0,0.0,100.0
56,570000,-102.0,0.0,100.0
57,580000,-102.0,0.0,100.0
